film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update,film_id,category_id,last_update,category_id,name,last_update
7,"AIRPLANE SIERRA","A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat",2006,1,NULL,6,4.99,62,28.99,PG-13,"Trailers,Deleted Scenes","2006-02-15 05:03:42",7,5,"2006-02-15 05:07:09",5,Comedy,"2006-02-15 04:46:27"
28,"ANTHEM LUKE","A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park",2006,1,NULL,5,4.99,91,16.99,PG-13,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",28,5,"2006-02-15 05:07:09",5,Comedy,"2006-02-15 04:46:27"
324,"FLINTSTONES HAPPINESS","A Fateful Story of a Husband And a Moose who must Vanquish a Boy in California",2006,1,NULL,3,4.99,148,11.99,PG-13,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",324,5,"2006-02-15 05:07:09",5,Comedy,"2006-02-15 04:46:27"
335,"FREEDOM CLEOPATRA","A Emotional Reflection of a Dentist And a Mad Cow who must Face a Squirrel in A Baloon",2006,1,NULL,5,0.99,133,23.99,PG-13,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42",335,5,"2006-02-15 05:07:09",5,Comedy,"2006-02-15 04:46:27"
385,"GROUNDHOG UNCUT","A Brilliant Panorama of a Astronaut And a Technical Writer who must Discover a Butler in A Manhattan Penthouse",2006,1,NULL,6,4.99,139,26.99,PG-13,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",385,5,"2006-02-15 05:07:09",5,Comedy,"2006-02-15 04:46:27"
502,"KNOCK WARLOCK","A Unbelieveable Story of a Teacher And a Boat who must Confront a Moose in A Baloon",2006,1,NULL,4,2.99,71,21.99,PG-13,Trailers,"2006-02-15 05:03:42",502,5,"2006-02-15 05:07:09",5,Comedy,"2006-02-15 04:46:27"
657,"PARADISE SABRINA","A Intrepid Yarn of a Car And a Moose who must Outrace a Crocodile in A Manhattan Penthouse",2006,1,NULL,5,2.99,48,12.99,PG-13,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",657,5,"2006-02-15 05:07:09",5,Comedy,"2006-02-15 04:46:27"
672,"PERFECT GROOVE","A Thrilling Yarn of a Dog And a Dog who must Build a Husband in A Baloon",2006,1,NULL,7,2.99,82,17.99,PG-13,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",672,5,"2006-02-15 05:07:09",5,Comedy,"2006-02-15 04:46:27"
754,"RUSHMORE MERMAID","A Boring Story of a Woman And a Moose who must Reach a Husband in A Shark Tank",2006,1,NULL,6,2.99,150,17.99,PG-13,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42",754,5,"2006-02-15 05:07:09",5,Comedy,"2006-02-15 04:46:27"
756,"SADDLE ANTITRUST","A Stunning Epistle of a Feminist And a A Shark who must Battle a Woman in An Abandoned Fun House",2006,1,NULL,7,2.99,80,10.99,PG-13,"Trailers,Deleted Scenes","2006-02-15 05:03:42",756,5,"2006-02-15 05:07:09",5,Comedy,"2006-02-15 04:46:27"
857,"STRICTLY SCARFACE","A Touching Reflection of a Crocodile And a Dog who must Chase a Hunter in An Abandoned Fun House",2006,1,NULL,3,2.99,144,24.99,PG-13,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",857,5,"2006-02-15 05:07:09",5,Comedy,"2006-02-15 04:46:27"
905,"TRAINSPOTTING STRANGERS","A Fast-Paced Drama of a Pioneer And a Mad Cow who must Challenge a Madman in Ancient Japan",2006,1,NULL,7,4.99,132,10.99,PG-13,Trailers,"2006-02-15 05:03:42",905,5,"2006-02-15 05:07:09",5,Comedy,"2006-02-15 04:46:27"
